Well,MaxRate_Value
B2,0.5006141851246343
B3,0.5003072805493285
B4,0.762389209959134
B5,0.763220239751647
B6,0.6237779694081117
B7,0.41709688680757157
B8,0.6856396821159297
B9,0.6474764007862452
B10,0.5713154874078745
B11,0.5766432466946712
C2,0.5056670971133809
C3,0.5298291236335093
C4,0.5989040992132987
C5,0.6681777274474995
C6,0.5254158830727458
C7,0.7524601061063638
C8,0.5865549505858915
C9,0.4284502777973093
C10,0.6144785912261554
C11,0.5366927906014192
D2,0.7056272481149669
D3,0.6032170550542525
D4,0.5164576392238448
D5,0.8109092467217328
D6,0.5106972035052281
D7,1.0616019576677338
D8,0.5827223628952919
D9,0.806344552778254
D10,0.6248442935609296
D11,0.7092261248802437
E2,0.5545006999212746
E3,0.49680939043712624
E4,0.6249976388453775
E5,0.6487137422239152
E6,0.63313733691919
E7,0.5328927359133363
E8,0.6509724589477189
E9,0.6623346439607162
E10,0.4257870934052621
E11,0.8012130932049671
F2,0.9554013927356763
F3,0.61763361983667
F4,0.8039171337260375
F5,0.7031802699587087
F6,0.7159411595686276
F7,0.7227547005748489
F8,0.5062196968753238
F9,0.7919621766518811
F10,0.5606117741225993
F11,0.6041994610135933
G2,0.41028839514838383
G3,0.5109253710885485
G4,0.6775311737288314
G5,0.54310828591947
G6,0.6034510681149619
G7,0.5302097913902205
G8,0.5813117811551395
G9,0.5142357285179167
G10,0.6380636635586249
G11,0.9830871684527632
